count: 1, address=0x106c22d, size=8 p=Agnola
count: 193, address=0x10708a9, size=6 p=Esta
count: 194, address=0x10708b6, size=8 p=Estele
count: 195, address=0x10708cf, size=9 p=Estelle
count: 196, address=0x10708e7, size=10 p=Estrella
count: 197, address=0x10708fd, size=7 p=Ethel
count: 198, address=0x1070916, size=10 p=Ethelind
count: 199, address=0x1070933, size=7 p=Ethyl
count: 200, address=0x107096d, size=8 p=Eugine
count: 201, address=0x107098c, size=10 p=Euphemia
count: 202, address=0x10709af, size=11 p=Evangelia
count: 203, address=0x10709ba, size=11 p=Evangelin
count: 204, address=0x10709dd, size=8 p=Evania
count: 205, address=0x10709ed, size=5 p=Eve
count: 206, address=0x1070a22, size=7 p=Evita
count: 207, address=0x1070a4a, size=7 p=Eydie
count: 208, address=0x1070a62, size=7 p=Faina
count: 209, address=0x1070a69, size=7 p=Faith
count: 210, address=0x1070a78, size=5 p=Fan
count: 211, address=0x1070a7e, size=11 p=Fanchette
count: 212, address=0x1070a92, size=8 p=Fancie
count: 213, address=0x1070a9a, size=7 p=Fancy
count: 214, address=0x1070aa1, size=10 p=Fanechka
count: 215, address=0x1070b58, size=8 p=Fayina
count: 216, address=0x1070bac, size=10 p=Felicity
count: 217, address=0x1070bc7, size=9 p=Felisha
count: 218, address=0x1070bd0, size=8 p=Felita
count: 219, address=0x1070c10, size=10 p=Fernanda
count: 220, address=0x1070c30, size=7 p=Ferne
count: 221, address=0x1070ca2, size=10 p=Fionnula
count: 222, address=0x1070cd4, size=7 p=Flora
count: 223, address=0x1070cec, size=10 p=Florella
count: 224, address=0x1070cf6, size=10 p=Florence
count: 225, address=0x1070d16, size=10 p=Florenza
count: 226, address=0x1070d5d, size=8 p=Floris
count: 227, address=0x1070d76, size=8 p=Florry
count: 228, address=0x1070d8d, size=9 p=Flossie
count: 229, address=0x1070ddd, size=11 p=Franciska
count: 230, address=0x1070e54, size=8 p=Freddy
count: 231, address=0x1070e89, size=7 p=Fredi
count: 232, address=0x1070e90, size=8 p=Fredia
count: 233, address=0x1070e98, size=8 p=Fredra
count: 234, address=0x1070eaa, size=8 p=Freida
count: 235, address=0x1070edd, size=8 p=Gabbie
count: 236, address=0x1070ee5, size=7 p=Gabey
count: 237, address=0x1070f0c, size=10 p=Gabriell
count: 238, address=0x1070f47, size=5 p=Gae
count: 239, address=0x1070f4d, size=6 p=Gael
count: 240, address=0x1070f5f, size=8 p=Galina
count: 241, address=0x1070f67, size=9 p=Garland
count: 242, address=0x1070f70, size=8 p=Garnet
count: 243, address=0x1070f78, size=10 p=Garnette
count: 244, address=0x1070f89, size=7 p=Gavra
count: 245, address=0x1070f90, size=11 p=Gavrielle
count: 246, address=0x1070f9b, size=5 p=Gay
count: 247, address=0x1070fb5, size=7 p=Gayle
count: 248, address=0x1070fd6, size=7 p=Gelya
count: 249, address=0x107100c, size=7 p=Genna
count: 250, address=0x107104f, size=12 p=Georgeanna
count: 251, address=0x1071151, size=10 p=Gerrilee
count: 252, address=0x1071168, size=7 p=Gerta
count: 253, address=0x1071176, size=8 p=Gertie
count: 254, address=0x10711ad, size=10 p=Giacinta
count: 255, address=0x10711c7, size=8 p=Gianna
count: 256, address=0x107124a, size=6 p=Gina
count: 257, address=0x107126a, size=7 p=Ginni
count: 258, address=0x1071271, size=8 p=Ginnie
count: 259, address=0x1071283, size=7 p=Ginny
count: 260, address=0x1071293, size=10 p=Giovanna
count: 261, address=0x107129d, size=7 p=Gipsy
count: 262, address=0x10712c6, size=9 p=Giselle
count: 263, address=0x10712cf, size=10 p=Giuditta
count: 264, address=0x10722db, size=8 p=Gizela
count: 265, address=0x107231a, size=6 p=Glen
count: 266, address=0x1072326, size=8 p=Glenda
count: 267, address=0x1072332, size=9 p=Glenine
count: 268, address=0x107234a, size=8 p=Glenna
count: 269, address=0x1072382, size=10 p=Gloriana
count: 270, address=0x1072398, size=7 p=Glory
count: 271, address=0x10723c4, size=9 p=Glynnis
count: 272, address=0x10723cf, size=6 p=Gnni
count: 273, address=0x1072411, size=8 p=Goldie
count: 274, address=0x107241c, size=9 p=Goldina
count: 275, address=0x1072432, size=7 p=Grace
count: 276, address=0x1072448, size=8 p=Gracie
count: 277, address=0x107245d, size=8 p=Gratia
count: 278, address=0x1072467, size=10 p=Gratiana
count: 279, address=0x1072471, size=6 p=Gray
count: 280, address=0x1072485, size=8 p=Grazia
count: 281, address=0x107248f, size=7 p=Greer
count: 282, address=0x1072499, size=7 p=Greta
count: 283, address=0x10724a3, size=8 p=Gretal
count: 284, address=0x10724ad, size=10 p=Gretchen
count: 285, address=0x10724b7, size=7 p=Grete
count: 286, address=0x10724cb, size=9 p=Grethel
count: 287, address=0x10724d5, size=8 p=Gretna
count: 288, address=0x10724e9, size=7 p=Grier
count: 289, address=0x1072512, size=11 p=Guenevere
count: 290, address=0x107251d, size=8 p=Guenna
count: 291, address=0x1072532, size=5 p=Gui
count: 292, address=0x1072546, size=13 p=Guillemette
count: 293, address=0x1072553, size=11 p=Guinevere
count: 294, address=0x107255e, size=8 p=Guinna
count: 295, address=0x1072568, size=9 p=Gunilla
count: 296, address=0x1072572, size=5 p=Gus
count: 297, address=0x10725ae, size=7 p=Gusti
count: 298, address=0x10725cc, size=6 p=Gwen
count: 299, address=0x10725d6, size=11 p=Gwendolen
count: 300, address=0x10725ec, size=11 p=Gwendolyn
count: 301, address=0x1072601, size=10 p=Gwenette
count: 302, address=0x107261f, size=9 p=Gwennie
count: 303, address=0x1072629, size=8 p=Gwenny
count: 304, address=0x107263d, size=9 p=Gwenore
count: 305, address=0x107265b, size=8 p=Gwynne
count: 306, address=0x1072679, size=8 p=Hailee
count: 307, address=0x107268d, size=9 p=Haleigh
count: 308, address=0x10726a0, size=7 p=Haley
count: 309, address=0x10726bb, size=10 p=Halimeda
count: 310, address=0x10726c5, size=8 p=Halley
count: 311, address=0x10726d7, size=8 p=Hallie
count: 312, address=0x10726e0, size=7 p=Hally
count: 313, address=0x10726f2, size=7 p=Hanna
count: 314, address=0x10726fb, size=8 p=Hannah
count: 315, address=0x1072704, size=7 p=Hanni
count: 316, address=0x107270d, size=8 p=Hannie
count: 317, address=0x107273a, size=8 p=Harley
count: 318, address=0x107275f, size=10 p=Harmonie
count: 319, address=0x1072769, size=9 p=Harmony
count: 320, address=0x107277b, size=8 p=Harrie
count: 321, address=0x1072784, size=9 p=Harriet
count: 322, address=0x1072797, size=11 p=Harrietta
count: 323, address=0x10727c0, size=7 p=Hatti
count: 324, address=0x10727db, size=8 p=Hayley
count: 325, address=0x10727e4, size=7 p=Hazel
count: 326, address=0x10727f6, size=9 p=Heather
count: 327, address=0x107281a, size=8 p=Heddie
count: 328, address=0x1072835, size=9 p=Hedvige
count: 329, address=0x1072847, size=9 p=Hedwiga
count: 330, address=0x1072850, size=6 p=Hedy
count: 331, address=0x1072859, size=7 p=Heida
count: 332, address=0x107286b, size=8 p=Heidie
count: 333, address=0x1072874, size=9 p=Helaina
count: 334, address=0x1072886, size=7 p=Helen
count: 335, address=0x107288f, size=17 p=Helen-Elizabeth
count: 336, address=0x10728a9, size=8 p=Helene
count: 337, address=0x10728b2, size=9 p=Helenka
count: 338, address=0x10728bb, size=7 p=Helga
count: 339, address=0x10728d6, size=9 p=Heloise
count: 340, address=0x10728df, size=7 p=Helsa
count: 341, address=0x10728e8, size=7 p=Helyn
count: 342, address=0x1072904, size=8 p=Henrie
count: 343, address=0x107290d, size=10 p=Henrieta
count: 344, address=0x1072917, size=11 p=Henrietta
count: 345, address=0x107292d, size=11 p=Henryetta
count: 346, address=0x1072943, size=8 p=Hermia
count: 347, address=0x107295e, size=10 p=Herminia
count: 348, address=0x1072968, size=10 p=Hermione
count: 349, address=0x107297b, size=8 p=Hertha
count: 350, address=0x10729c3, size=7 p=Hilda
count: 351, address=0x10729e3, size=7 p=Hilde
count: 352, address=0x1072a0d, size=9 p=Hillary
count: 353, address=0x1072a16, size=10 p=Hilliary
count: 354, address=0x1072a20, size=7 p=Hinda
count: 355, address=0x1072a29, size=7 p=Holli
count: 356, address=0x1072a3b, size=7 p=Holly
count: 357, address=0x1072a50, size=11 p=Hollyanne
count: 358, address=0x1072a5b, size=7 p=Honey
count: 359, address=0x1072a64, size=7 p=Honor
count: 360, address=0x1072a6d, size=9 p=Honoria
count: 361, address=0x1072a88, size=10 p=Hortense
count: 362, address=0x1072a92, size=11 p=Hortensia
count: 363, address=0x1072a9d, size=7 p=Hulda
count: 364, address=0x1072aa6, size=10 p=Hyacinth
count: 365, address=0x1072ab0, size=11 p=Hyacintha
count: 366, address=0x1072abb, size=11 p=Hyacinthe
count: 367, address=0x1072ade, size=7 p=Hynda
count: 368, address=0x1072b14, size=9 p=Idalina
count: 369, address=0x1072b26, size=7 p=Idell
count: 370, address=0x1072b2f, size=8 p=Idelle
count: 371, address=0x1072b38, size=8 p=Idette
count: 372, address=0x1072b4a, size=8 p=Ileane
count: 373, address=0x1072b6a, size=6 p=Illa
count: 374, address=0x1072b72, size=6 p=Ilsa
count: 375, address=0x1072b8a, size=7 p=Ilyse
count: 376, address=0x1072b9a, size=8 p=Imelda
count: 377, address=0x1072baa, size=9 p=Imogene
count: 378, address=0x1072bcc, size=6 p=Ines
count: 379, address=0x1072bd4, size=9 p=Inesita
count: 380, address=0x1072bed, size=6 p=Inga
count: 381, address=0x1072bf5, size=10 p=Ingaberg
count: 382, address=0x1072bff, size=10 p=Ingaborg
count: 383, address=0x1072c09, size=6 p=Inge
count: 384, address=0x1072c25, size=7 p=Inger
count: 385, address=0x1072c2d, size=8 p=Ingrid
count: 386, address=0x1072c3e, size=6 p=Inna
count: 387, address=0x1072c46, size=9 p=Iolande
count: 388, address=0x1072c59, size=6 p=Iona
count: 389, address=0x1072c61, size=9 p=Iormina
count: 390, address=0x1072c6a, size=5 p=Ira
count: 391, address=0x1072c72, size=7 p=Irena
count: 392, address=0x1072caa, size=8 p=Isabel
count: 393, address=0x1072cb2, size=11 p=Isabelita
count: 394, address=0x1072cbd, size=10 p=Isabella
count: 395, address=0x1072cda, size=10 p=Isahella
count: 396, address=0x1072ce4, size=9 p=Iseabal
count: 397, address=0x1072d06, size=6 p=Issi
count: 398, address=0x1072d26, size=8 p=Ivette
count: 399, address=0x1072d36, size=8 p=Ivonne
count: 400, address=0x1072d46, size=5 p=Ivy
count: 401, address=0x1072d56, size=9 p=Jacenta
count: 402, address=0x1072d68, size=9 p=Jacinta
count: 403, address=0x1072d8f, size=7 p=Jacki
count: 404, address=0x1072d97, size=8 p=Jackie
count: 405, address=0x1072d9f, size=9 p=Jacklin
count: 406, address=0x1072da8, size=9 p=Jacklyn
count: 407, address=0x1072db1, size=12 p=Jackquelin
count: 408, address=0x1072dbd, size=13 p=Jackqueline
count: 409, address=0x1072de2, size=11 p=Jacquelin
count: 410, address=0x1072df9, size=11 p=Jacquelyn
count: 411, address=0x1072e04, size=12 p=Jacquelynn
count: 412, address=0x1072e1d, size=13 p=Jacquenette
count: 413, address=0x1072e35, size=11 p=Jacquette
count: 414, address=0x1072e40, size=8 p=Jacqui
count: 415, address=0x1072e5a, size=6 p=Jada
count: 416, address=0x1072e82, size=6 p=Jami
count: 417, address=0x1072e8a, size=7 p=Jamie
count: 418, address=0x1072ea2, size=5 p=Jan
count: 419, address=0x1072eca, size=6 p=Jane
count: 420, address=0x1072ed2, size=8 p=Janean
count: 421, address=0x1072ee4, size=8 p=Janeen
count: 422, address=0x1072eec, size=7 p=Janel
count: 423, address=0x1072ef4, size=8 p=Janela
count: 424, address=0x1072f0e, size=8 p=Janene
count: 425, address=0x1072f38, size=9 p=Janetta
count: 426, address=0x1072f41, size=9 p=Janette
count: 427, address=0x1072f52, size=7 p=Janey
count: 428, address=0x1072f5a, size=7 p=Jania
count: 429, address=0x1072f6a, size=7 p=Janie
count: 430, address=0x1072f83, size=8 p=Janine
count: 431, address=0x1072f93, size=8 p=Janith
count: 432, address=0x1072fa3, size=7 p=Janna
count: 433, address=0x1072fbd, size=7 p=Janot
count: 434, address=0x1072fcd, size=10 p=Jaquelin
count: 435, address=0x1072ff9, size=9 p=Jaquith
count: 436, address=0x1073024, size=8 p=Jaymee
count: 437, address=0x107302c, size=7 p=Jayne
count: 438, address=0x1073045, size=6 p=Jean
count: 439, address=0x107304d, size=7 p=Jeana
count: 440, address=0x1073079, size=9 p=Jeanine
count: 441, address=0x1073082, size=8 p=Jeanna
count: 442, address=0x107308a, size=8 p=Jeanne
count: 443, address=0x107309d, size=9 p=Jeannie
count: 444, address=0x10730d1, size=9 p=Jemimah
count: 445, address=0x10730da, size=8 p=Jemmie
count: 446, address=0x10730e2, size=7 p=Jemmy
count: 447, address=0x10730fa, size=7 p=Jenda
count: 448, address=0x1073102, size=9 p=Jenelle
count: 449, address=0x107311b, size=9 p=Jeniece
count: 450, address=0x1073137, size=9 p=Jenilee
count: 451, address=0x1073140, size=8 p=Jenine
count: 452, address=0x1073150, size=7 p=Jenna
count: 453, address=0x1073158, size=8 p=Jennee
count: 454, address=0x1073160, size=10 p=Jennette
count: 455, address=0x107316a, size=7 p=Jenni
count: 456, address=0x1073172, size=9 p=Jennica
count: 457, address=0x107317b, size=8 p=Jennie
count: 458, address=0x1073183, size=10 p=Jennifer
count: 459, address=0x107318d, size=10 p=Jennilee
count: 460, address=0x1073197, size=9 p=Jennine
count: 461, address=0x10731b1, size=6 p=Jere
count: 462, address=0x10731b9, size=6 p=Jeri
count: 463, address=0x10731d3, size=10 p=Jerrilee
count: 464, address=0x10731dd, size=10 p=Jerrilyn
count: 465, address=0x107321c, size=10 p=Jessalyn
count: 466, address=0x1073226, size=11 p=Jessamine
count: 467, address=0x1073231, size=10 p=Jessamyn
count: 468, address=0x107323b, size=7 p=Jesse
count: 469, address=0x1073243, size=10 p=Jesselyn
count: 470, address=0x107324d, size=7 p=Jessi
count: 471, address=0x1073266, size=9 p=Jessika
count: 472, address=0x1073287, size=9 p=Jewelle
count: 473, address=0x1073290, size=6 p=Jill
count: 474, address=0x10732b4, size=9 p=Jilleen
count: 475, address=0x10732d7, size=8 p=Jillie
count: 476, address=0x10732f7, size=8 p=Jo Ann
count: 477, address=0x10732ff, size=8 p=Jo-Ann
count: 478, address=0x1073318, size=7 p=Joana
count: 479, address=0x107333f, size=8 p=Joanne
count: 480, address=0x1073357, size=6 p=Jobi
count: 481, address=0x1073365, size=8 p=Jobina
count: 482, address=0x107337b, size=8 p=Jobyna
count: 483, address=0x1073383, size=9 p=Jocelin
count: 484, address=0x107338c, size=10 p=Joceline
count: 485, address=0x1073396, size=9 p=Jocelyn
count: 486, address=0x10733b0, size=6 p=Jodi
count: 487, address=0x10733be, size=6 p=Jody
count: 488, address=0x10733dc, size=7 p=Joell
count: 489, address=0x1073404, size=9 p=Joellyn
count: 490, address=0x1073424, size=9 p=Johanna
count: 491, address=0x1073447, size=10 p=Johnette
count: 492, address=0x1073451, size=8 p=Johnna
count: 493, address=0x1073460, size=6 p=Jojo
count: 494, address=0x1073467, size=7 p=Jolee
count: 495, address=0x107346e, size=8 p=Joleen
count: 496, address=0x1073476, size=8 p=Jolene
count: 497, address=0x107347e, size=9 p=Joletta
count: 498, address=0x107349d, size=6 p=Joly
count: 499, address=0x10734a4, size=7 p=Jolyn
count: 500, address=0x10734ab, size=8 p=Jolynn
count: 501, address=0x10734b3, size=8 p=Jonell
count: 502, address=0x10734bb, size=6 p=Joni
count: 503, address=0x10734c2, size=7 p=Jonie
count: 504, address=0x10734c9, size=7 p=Jonis
count: 505, address=0x10734d0, size=9 p=Jordain
count: 506, address=0x10734d9, size=8 p=Jordan
count: 507, address=0x10734e1, size=9 p=Jordana
count: 508, address=0x10734ea, size=10 p=Jordanna
count: 509, address=0x10734f4, size=7 p=Jorey
count: 510, address=0x10734fb, size=6 p=Jori
count: 511, address=0x1073502, size=7 p=Jorie
count: 512, address=0x1073509, size=8 p=Jorrie
count: 513, address=0x1073511, size=7 p=Jorry
count: 514, address=0x1073518, size=10 p=Joscelin
count: 515, address=0x1073522, size=7 p=Josee
count: 516, address=0x1073529, size=8 p=Josefa
count: 517, address=0x1073531, size=10 p=Josefina
count: 518, address=0x107353b, size=9 p=Josepha
count: 519, address=0x1073544, size=11 p=Josephina
count: 520, address=0x107354f, size=11 p=Josephine
count: 521, address=0x107355a, size=7 p=Josey
count: 522, address=0x1073561, size=6 p=Josi
count: 523, address=0x1073568, size=7 p=Josie
count: 524, address=0x107356f, size=10 p=Josselyn
count: 525, address=0x1073579, size=6 p=Josy
count: 526, address=0x1073580, size=9 p=Jourdan
count: 527, address=0x1073589, size=5 p=Joy
count: 528, address=0x1073590, size=6 p=Joya
count: 529, address=0x1073597, size=7 p=Joyan
count: 530, address=0x107359e, size=8 p=Joyann
count: 531, address=0x10735a6, size=7 p=Joyce
count: 532, address=0x10735ad, size=10 p=Joycelin
count: 533, address=0x10735b7, size=6 p=Joye
count: 534, address=0x10735be, size=9 p=Jsandye
count: 535, address=0x10735c7, size=7 p=Juana
count: 536, address=0x10735ce, size=9 p=Juanita
count: 537, address=0x10735d7, size=6 p=Judi
count: 538, address=0x10735de, size=7 p=Judie
count: 539, address=0x10735e5, size=8 p=Judith
count: 540, address=0x10735ed, size=9 p=Juditha
count: 541, address=0x10735f6, size=6 p=Judy
count: 542, address=0x10735fd, size=7 p=Judye
count: 543, address=0x1073604, size=8 p=Juieta
count: 544, address=0x107360c, size=7 p=Julee
count: 545, address=0x1073613, size=6 p=Juli
count: 546, address=0x107361a, size=7 p=Julia
count: 547, address=0x1073621, size=9 p=Juliana
count: 548, address=0x107362a, size=9 p=Juliane
count: 549, address=0x1073633, size=9 p=Juliann
count: 550, address=0x107363c, size=10 p=Julianna
count: 551, address=0x1073646, size=10 p=Julianne
count: 552, address=0x1073650, size=7 p=Julie
count: 553, address=0x1073657, size=10 p=Julienne
count: 554, address=0x1073661, size=8 p=Juliet
count: 555, address=0x1073669, size=9 p=Julieta
count: 556, address=0x1073672, size=10 p=Julietta
count: 557, address=0x107367c, size=10 p=Juliette
count: 558, address=0x1073686, size=8 p=Julina
count: 559, address=0x107368e, size=8 p=Juline
count: 560, address=0x1073696, size=9 p=Julissa
count: 561, address=0x107369f, size=8 p=Julita
count: 562, address=0x10736a7, size=6 p=June
count: 563, address=0x10736ae, size=9 p=Junette
count: 564, address=0x10736b7, size=7 p=Junia
